Destination,Condition,Month,Temperature,Festival,Holiday Season,Popularity Index
Shimla,Clear,January,-0.8,Yes,Yes,27
Varanasi,Clear,January,23.7,Yes,Yes,51
Varanasi,Clouds,February,22.4,No,No,41
Rameswaram,Clear,January,17.9,Yes,Yes,56
Alleppey,Clear,January,11.9,Yes,Yes,64
Kochi,Clear,January,24.9,Yes,Yes,57
Goa,Clear,February,18,No,No,65
Ahmedabad,Clear,January,24.4,Yes,Yes,55
Jodhpur,Clear,February,22.3,No,No,37
Goa,Clear,March,19.3,Yes,No,73
Goa,Clear,April,26.8,No,No,64
Jaipur,Rain,April,30.5,No,No,39
Pushkar,Clear,January,10,Yes,Yes,66
Kodaikanal,Clear,February,21.5,No,No,49
Delhi,Clear,March,27.4,Yes,No,68
Kodaikanal,Rain,March,14.3,Yes,No,56
Agra,Clouds,February,10.5,No,No,48
Mysuru,Clouds,February,17.4,No,No,64
Udaipur,Clear,March,20.7,Yes,No,58
Nashik,Clear,January,19.9,Yes,Yes,48
Dharamshala,Heavy Snow,February,27.7,No,No,45
Manali,Rain,January,0.6,Yes,Yes,33
Munnar,Clouds,January,10.1,Yes,Yes,47
Varanasi,Clear,March,27.3,Yes,No,51
Jodhpur,Clear,March,28.4,Yes,No,40
Somnath,Rain,February,21.7,No,No,40
Shirdi,Clear,January,19.7,Yes,Yes,68
Darjeeling,Fog,January,4.3,Yes,Yes,43
Amritsar,Clear,February,11.4,No,No,52
Mumbai,Clouds,February,11.6,No,No,30
Varanasi,Clear,April,32.2,No,No,33
Prayagraj,Clear,February,22.4,No,No,56
Prayagraj,Clouds,March,24.3,Yes,No,62
Ooty,Clear,April,28.1,No,No,59
Aurangabad,Clear,January,25.1,Yes,Yes,46
Madurai,Clear,March,25.9,Yes,No,57
Pushkar,Clear,February,26.3,No,No,62
Udaipur,Rain,April,21.3,No,No,42
Kochi,Clouds,February,23.3,No,No,47
Somnath,Rain,March,14.2,Yes,No,46
Ahmedabad,Clear,February,25.9,No,No,45
Shimla,Fog,February,4.1,No,No,23
Mysuru,Storm,March,27,Yes,No,72
Delhi,Rain,April,25.5,No,No,52
Vijayawada,Storm,January,22.9,Yes,Yes,71
Madurai,Fog,April,32.4,No,No,37
Chennai,Clouds,February,19.7,No,No,45
Amritsar,Clear,March,22,Yes,No,67
Munnar,Rain,February,4.2,No,No,42
Shimla,Rain,March,3.1,Yes,No,33
Mathura & Vrindavan,Clear,February,13,No,No,52
Agra,Clear,March,27.8,Yes,No,61
Tirupati,Clear,January,25.4,Yes,Yes,70
Mathura & Vrindavan,Storm,March,23.7,Yes,No,62
Amritsar,Clear,April,26.7,No,No,53
Ajmer,Rain,January,11.5,Yes,Yes,52
Statue of Unity (Kevadia),Fog,January,8.2,Yes,Yes,58
Lucknow,Rain,March,25.1,Yes,No,53
Varanasi,Clouds,May,38.6,No,Yes,24
Bengaluru,Clear,February,20.8,No,No,52
Mysuru,Storm,April,27.3,No,No,57
Aurangabad,Clear,February,10.4,No,No,31
Rishikesh & Haridwar,Clear,January,13,Yes,Yes,55
Mathura & Vrindavan,Rain,April,28.5,No,No,46
Prayagraj,Fog,April,21.6,No,No,45
Kanyakumari,Clear,March,24.9,Yes,No,69
Visakhapatnam,Rain,January,5.1,Yes,Yes,60
Nainital,Clouds,January,3.6,Yes,Yes,33
Visakhapatnam,Clouds,February,17.2,No,No,58
Vijayawada,Clear,February,26.5,No,No,62
Ooty,Clear,May,29.7,No,Yes,61
Manali,Clear,February,3.1,No,No,29
Madurai,Clear,May,38.6,No,Yes,34
Nashik,Rain,February,18.4,No,No,36
Darjeeling,Clear,February,16.9,No,No,45
Aurangabad,Clouds,March,15,Yes,No,40
Pune,Rain,February,7.9,No,No,49
Prayagraj,Fog,May,35.4,No,Yes,40
Nashik,Clear,March,26.7,Yes,No,45
Visakhapatnam,Clear,March,22.4,Yes,No,66
Ooty,Rain,June,24.7,No,Yes,46
Srinagar,Clear,March,15.1,Yes,No,66
Agra,Clear,April,32.7,No,No,41
Shirdi,Clear,February,24.5,No,No,59
Amritsar,Clear,May,34.3,No,Yes,44
Shirdi,Rain,March,16.3,Yes,No,65
Amritsar,Rain,June,23.1,No,Yes,43
Pushkar,Clear,March,23.7,Yes,No,69
Ahmedabad,Clear,March,20.4,Yes,No,52
Manali,Snow,March,6.5,Yes,No,41
Ahmedabad,Clouds,April,28.9,No,No,35
Mumbai,Clouds,March,19.2,Yes,No,41
Visakhapatnam,Clear,April,27.2,No,No,51
Alleppey,Clouds,February,21.2,No,No,59
Thiruvananthapuram,Storm,February,26.1,No,No,35
Rishikesh & Haridwar,Clear,February,26.2,No,No,50
Kolkata,Heavy Rain,April,28.2,No,No,49
Kanyakumari,Clear,April,32.3,No,No,56
Agra,Rain,May,32.5,No,Yes,42
Darjeeling,Clear,March,18.8,Yes,No,58
Munnar,Rain,March,17.5,Yes,No,61
Srinagar,Clouds,April,10.5,No,No,59
Munnar,Heavy Rain,April,25.5,No,No,59
Rishikesh & Haridwar,Rain,March,20.3,Yes,No,55
Dwarka,Clear,January,11.5,Yes,Yes,66
Ajmer,Clear,February,24.3,No,No,48
Kolkata,Rain,May,35.6,No,Yes,43
Pushkar,Clear,April,28,No,No,53
Udaipur,Clear,May,41.9,No,Yes,32
Vijayawada,Fog,March,26,Yes,No,67
Alleppey,Rain,March,22.9,Yes,No,64
Goa,Clear,May,40.2,No,Yes,51
Vaishno Devi (Katra),Fog,February,10.7,No,No,48
Coorg,Clouds,January,9.9,Yes,Yes,71
Varanasi,Clear,June,33.5,No,Yes,23
Pushkar,Clear,May,41.9,No,Yes,43
Pushkar,Clear,June,36.9,No,Yes,42
Darjeeling,Snow,April,12,No,No,49
Agra,Fog,June,29.5,No,Yes,40
Aurangabad,Clouds,April,26.2,No,No,27
Ahmedabad,Fog,May,33.3,No,Yes,32
Rameswaram,Clouds,February,8,No,No,40
Kodaikanal,Clear,April,14.8,No,No,53
Agra,Clear,July,28.6,No,Yes,43
Kolkata,Rain,June,22.1,No,Yes,45
Ooty,Clear,July,25,No,Yes,44
Bengaluru,Heavy Rain,March,19.4,Yes,No,57
Delhi,Clear,May,35.3,No,Yes,48
Pune,Clouds,March,31.6,Yes,No,60
Statue of Unity (Kevadia),Clear,February,19.1,No,No,56
Coorg,Rain,February,21.5,No,No,67
Jodhpur,Clear,April,24.3,No,No,29
Delhi,Fog,June,29.5,No,Yes,47
Mathura & Vrindavan,Clear,May,37,No,Yes,41
Dwarka,Clear,February,20.1,No,No,62
Thiruvananthapuram,Clear,March,17.2,Yes,No,40
Statue of Unity (Kevadia),Clear,March,20.4,Yes,No,63
Prayagraj,Clear,June,25.7,No,Yes,44
Hampi,Rain,March,25,Yes,No,69
Goa,Rain,June,21.6,No,Yes,49
Pushkar,Clear,July,33.7,No,Yes,47
Mumbai,Rain,April,32.5,No,No,21
Agra,Clouds,August,30.9,Yes,No,46
Pushkar,Clouds,August,20,Yes,No,57
Kolkata,Fog,July,20.4,No,Yes,47
Darjeeling,Clouds,May,29.9,No,Yes,56
Darjeeling,Clear,June,23.8,No,Yes,43
Ayodhya,Rain,March,24.9,Yes,No,64
Coorg,Clouds,March,21.1,Yes,No,75
Chennai,Rain,March,24.1,Yes,No,51
Kochi,Clear,March,25.9,Yes,No,54
Alleppey,Clear,April,26.3,No,No,56
Goa,Clear,July,25.1,No,Yes,49
Pune,Heavy Rain,April,30.1,No,No,46
Ooty,Fog,August,18,Yes,No,46
Rameswaram,Rain,March,29.4,Yes,No,55
Pushkar,Clear,September,23.5,No,No,58
Munnar,Rain,May,16.3,No,Yes,59
Dharamshala,Clear,March,16.6,Yes,No,50
Munnar,Clouds,June,13.5,No,Yes,43
Madurai,Clear,June,29.2,No,Yes,38
Jaisalmer,Clear,January,15,Yes,Yes,69
Dharamshala,Clouds,April,26.6,No,No,36
Dwarka,Rain,March,18.2,Yes,No,66
Aurangabad,Heavy Rain,May,33.4,No,Yes,24
Nashik,Clear,April,36.9,No,No,21
Statue of Unity (Kevadia),Clear,April,22.4,No,No,47
Alleppey,Heavy Rain,May,29.5,No,Yes,53
Kanyakumari,Rain,May,25.3,No,Yes,57
Ahmedabad,Clear,June,35.5,No,Yes,27
Kanyakumari,Clear,June,24.2,No,Yes,46
Darjeeling,Clear,July,21,No,Yes,40
Jaipur,Clear,May,25.7,No,Yes,44
Thiruvananthapuram,Fog,April,29.6,No,No,24
Nashik,Clouds,May,23,No,Yes,31
Srinagar,Fog,May,14.7,No,Yes,64
Varanasi,Clear,July,28.1,No,Yes,28
Kochi,Clouds,April,21.5,No,No,38
Ooty,Clear,September,21.4,No,No,49
Mysuru,Clear,May,40.7,No,Yes,48
Madurai,Rain,July,20.4,No,Yes,39
Nainital,Clear,February,6.6,No,No,28
Dwarka,Clear,April,36.3,No,No,46
Mysuru,Heavy Rain,June,30.5,No,Yes,52
Ahmedabad,Rain,July,27.9,No,Yes,34
Jodhpur,Clear,May,35.5,No,Yes,24
Jaisalmer,Clear,February,26.9,No,No,62
Prayagraj,Clear,July,32.9,No,Yes,41
Nashik,Clear,June,30.9,No,Yes,24
Chennai,Clear,April,32.1,No,No,33
Kochi,Rain,May,31.5,No,Yes,36
Tirupati,Clear,February,15.6,No,No,58
Nainital,Clear,March,10.9,Yes,No,42
Prayagraj,Clear,August,27.3,Yes,No,51
Dwarka,Clear,May,32.8,No,Yes,50
Dwarka,Clouds,June,32.6,No,Yes,46
Chennai,Clouds,May,38.1,No,Yes,29
Jaisalmer,Clouds,March,22.5,Yes,No,65
Srinagar,Clear,June,19.6,No,Yes,48
Kanyakumari,Storm,July,27.8,No,Yes,44
Chennai,Clear,June,31.9,No,Yes,31
Thiruvananthapuram,Heavy Rain,May,33,No,Yes,23
Thiruvananthapuram,Rain,June,22.6,No,Yes,23
Visakhapatnam,Rain,May,29.9,No,Yes,50
Coorg,Clouds,April,24.3,No,No,59
Aurangabad,Rain,June,21.6,No,Yes,24
Vijayawada,Clear,April,29.1,No,No,52
Hampi,Clear,April,35.2,No,No,49
Amritsar,Clear,July,28.9,No,Yes,43
Amritsar,Clear,August,33.5,Yes,No,46
Shimla,Clear,April,27,No,No,41
Mysuru,Clear,July,28.4,No,Yes,55
Vijayawada,Rain,May,31.4,No,Yes,50
Shirdi,Rain,April,27.3,No,No,54
Rameswaram,Clouds,April,33.2,No,No,38
Kolkata,Heavy Rain,August,29.1,Yes,No,52
Pune,Rain,May,38.4,No,Yes,39
Mathura & Vrindavan,Clouds,June,24.3,No,Yes,44
Chennai,Clear,July,27.7,No,Yes,35
Bengaluru,Clouds,April,35,No,No,36
Shirdi,Rain,May,31.8,No,Yes,47
Shirdi,Clear,June,31.3,No,Yes,43
Rishikesh & Haridwar,Clear,April,37.9,No,No,32
Vijayawada,Clear,June,29.6,No,Yes,49
Hampi,Rain,May,29.9,No,Yes,54
Jaipur,Clear,June,30.1,No,Yes,38
Udaipur,Clear,June,31.5,No,Yes,37
Pushkar,Clear,October,24.6,Yes,Yes,73
Agra,Rain,September,19.6,No,No,49
Chennai,Clear,August,25.5,Yes,No,41
Tirupati,Clear,March,21.5,Yes,No,70
Vaishno Devi (Katra),Rain,March,22.6,Yes,No,60
Varanasi,Clouds,August,20.7,Yes,No,35
Coorg,Clear,May,39.3,No,Yes,51
Dwarka,Rain,July,27.9,No,Yes,50
Vijayawada,Clear,July,33,No,Yes,47
Jaisalmer,Storm,April,33,No,No,50
Darjeeling,Fog,August,11.5,Yes,No,38
Vijayawada,Heavy Rain,August,32.5,Yes,No,52
Goa,Fog,August,26.1,Yes,No,51
Nainital,Rain,April,24.9,No,No,43
Madurai,Clear,August,26.4,Yes,No,46
Tirupati,Clear,April,28.6,No,No,55
Mysuru,Rain,August,19.1,Yes,No,60
Alleppey,Storm,June,24.7,No,Yes,42
Tirupati,Clear,May,30.6,No,Yes,50
Dwarka,Fog,August,22.6,Yes,No,56
Mumbai,Storm,May,34.8,No,Yes,21
Ayodhya,Fog,April,25.1,No,No,50
Mathura & Vrindavan,Clouds,July,20.8,No,Yes,46
Ajmer,Clear,March,21.1,Yes,No,55
Nashik,Heavy Rain,July,22,No,Yes,27
Aurangabad,Clear,July,27.1,No,Yes,26
Delhi,Clear,July,30.8,No,Yes,49
Chennai,Rain,September,28.8,No,No,40
Nashik,Clear,August,22.9,Yes,No,33
Shirdi,Clear,July,28.7,No,Yes,45
Manali,Clouds,April,21.9,No,No,47
Kodaikanal,Clear,May,18.5,No,Yes,59
Agra,Clouds,October,20.9,Yes,Yes,65
Mathura & Vrindavan,Clear,August,25.1,Yes,No,51
Dwarka,Rain,September,21,No,No,56
Vijayawada,Clear,September,27.6,No,No,57
Pushkar,Clear,November,15.1,Yes,Yes,72
Nainital,Fog,May,24.4,No,Yes,46
Goa,Storm,September,31.3,No,No,50
Pushkar,Clear,December,23.3,Yes,Yes,76
Prayagraj,Rain,September,24.2,No,No,50
Coorg,Rain,June,22.1,No,Yes,55
Ahmedabad,Clear,August,24.8,Yes,No,40
Darjeeling,Rain,September,12.5,No,No,39
Nashik,Fog,September,25.3,No,No,33
Vaishno Devi (Katra),Clear,April,23.5,No,No,45
Mysuru,Clear,September,31.5,No,No,59
Kanyakumari,Heavy Rain,August,25,Yes,No,48
Coorg,Clear,July,28.8,No,Yes,57
Jodhpur,Clear,June,34.6,No,Yes,14
Srinagar,Rain,July,13.6,No,Yes,45
Kolkata,Clouds,September,22.4,No,No,54
Srinagar,Clear,August,20.8,Yes,No,54
Alleppey,Clear,July,30.3,No,Yes,39
Aurangabad,Clear,August,24.7,Yes,No,32
Delhi,Heavy Rain,August,33.1,Yes,No,51
Mathura & Vrindavan,Clouds,September,27.8,No,No,52
Kanyakumari,Clear,September,25.3,No,No,49
Jaipur,Clear,July,29.2,No,Yes,40
Ayodhya,Clouds,May,27.6,No,Yes,48
Shimla,Clear,May,24.3,No,Yes,44
Manali,Clouds,May,22.1,No,Yes,50
Alleppey,Clear,August,28.6,Yes,No,44
Mathura & Vrindavan,Clear,October,23.1,Yes,Yes,67
Shimla,Clear,June,24,No,Yes,24
Kodaikanal,Rain,June,20.1,No,Yes,38
Mathura & Vrindavan,Clouds,November,22.2,Yes,Yes,69
Rameswaram,Rain,May,22.5,No,Yes,39
Rameswaram,Rain,June,32.8,No,Yes,29
Ayodhya,Rain,June,26,No,Yes,41
Munnar,Clear,July,16.1,No,Yes,42
Kodaikanal,Clouds,July,8.9,No,Yes,29
Manali,Clear,June,22,No,Yes,35
Thiruvananthapuram,Storm,July,32.3,No,Yes,21
Tirupati,Clear,June,37.6,No,Yes,38
Shirdi,Clear,August,28.9,Yes,No,52
Kolkata,Clouds,October,19.3,Yes,Yes,69
Darjeeling,Clear,October,23.9,Yes,Yes,60
Amritsar,Clouds,September,19,No,No,51
Delhi,Rain,September,20.9,No,No,56
Pune,Storm,June,24.4,No,Yes,45
Aurangabad,Clear,September,30.7,No,No,30
Delhi,Clear,October,23.8,Yes,Yes,73
Alleppey,Rain,September,25.6,No,No,44
Tirupati,Rain,July,25,No,Yes,46
Prayagraj,Rain,October,16.5,Yes,Yes,63
Srinagar,Clear,September,24.1,No,No,55
Prayagraj,Clear,November,23.7,Yes,Yes,68
Dwarka,Clear,October,25.8,Yes,Yes,73
Lucknow,Heavy Rain,April,37.8,No,No,30
Kodaikanal,Rain,August,19.7,Yes,No,44
Mumbai,Clouds,June,26,No,Yes,23
Mathura & Vrindavan,Clear,December,17.9,Yes,Yes,69
Varanasi,Clear,September,25.7,No,No,35
Kochi,Clouds,June,29.7,No,Yes,34
Shirdi,Clear,September,31.8,No,No,50
Chennai,Fog,October,17.7,Yes,Yes,54
Delhi,Storm,November,19.3,Yes,Yes,73
Varanasi,Clear,October,28.2,Yes,Yes,54
Mathura & Vrindavan,Clear,January,19.6,Yes,Yes,66
Chennai,Clear,November,18.7,Yes,Yes,58
Rishikesh & Haridwar,Clear,May,34.5,No,Yes,37
Alleppey,Fog,October,27.7,Yes,Yes,66
Kolkata,Clouds,November,18.5,Yes,Yes,70
Bengaluru,Rain,May,34.6,No,Yes,38
Pune,Clear,July,29,No,Yes,46
Shirdi,Fog,October,24.9,Yes,Yes,70
Shimla,Clouds,July,13,No,Yes,21
Dwarka,Clear,November,26.9,Yes,Yes,74
Prayagraj,Clear,December,21.8,Yes,Yes,70
Ooty,Rain,October,9.4,Yes,Yes,57
Dharamshala,Clear,May,32.7,No,Yes,34
Munnar,Rain,August,16,Yes,No,45
Dharamshala,Clear,June,30.5,No,Yes,31
Udaipur,Rain,July,19.6,No,Yes,40
Shirdi,Heavy Rain,November,27.7,Yes,Yes,72
Visakhapatnam,Clear,June,25,No,Yes,48
Bengaluru,Clear,June,29.6,No,Yes,39
Goa,Clear,October,29.9,Yes,Yes,73
Lucknow,Fog,May,26.8,No,Yes,39
Tirupati,Rain,August,24.8,Yes,No,53
Jaipur,Rain,August,26.1,Yes,No,46
Bengaluru,Heavy Rain,July,29.8,No,Yes,39
Goa,Fog,November,11.7,Yes,Yes,70
Ahmedabad,Clear,September,31,No,No,38
Varanasi,Clear,November,22.1,Yes,Yes,55
Rameswaram,Clear,July,33.3,No,Yes,29
Jaisalmer,Clouds,May,37.2,No,Yes,48
Mysuru,Rain,October,19.5,Yes,Yes,76
Mysuru,Clear,November,15.2,Yes,Yes,76
Munnar,Clear,September,16.6,No,No,47
Ahmedabad,Heavy Rain,October,29.4,Yes,Yes,54
Ooty,Rain,November,9.8,Yes,Yes,56
Thiruvananthapuram,Heavy Rain,August,27.9,Yes,No,30
Madurai,Rain,September,27.5,No,No,45
Jodhpur,Clear,July,24,No,Yes,20
Darjeeling,Rain,November,3.7,Yes,Yes,48
Aurangabad,Fog,October,17.7,Yes,Yes,45
Coorg,Clear,August,26.1,Yes,No,63
Rameswaram,Heavy Rain,August,30.4,Yes,No,38
Lucknow,Rain,June,27.3,No,Yes,35
Pushkar,Clear,January,11.7,Yes,Yes,67
Kodaikanal,Clear,September,21.4,No,No,46
Ahmedabad,Clear,November,14.2,Yes,Yes,54
Jodhpur,Clear,August,24.9,Yes,No,26
Visakhapatnam,Clear,July,33.2,No,Yes,45
Mathura & Vrindavan,Clouds,February,15.8,No,No,54
Manali,Clear,July,17,No,Yes,30
Agra,Rain,November,13.3,Yes,Yes,62
Vaishno Devi (Katra),Clear,May,32.8,No,Yes,43
Statue of Unity (Kevadia),Heavy Rain,May,34.3,No,Yes,43
Pushkar,Clear,February,20,No,No,62
Udaipur,Clear,August,22.7,Yes,No,47
Pushkar,Clouds,March,25.3,Yes,No,69
Nashik,Clear,October,23.6,Yes,Yes,49
Tirupati,Clear,September,30.6,No,No,52
Aurangabad,Clear,November,18,Yes,Yes,48
Vaishno Devi (Katra),Fog,June,21.5,No,Yes,41
Ayodhya,Clear,July,28.4,No,Yes,42
Vijayawada,Rain,October,17.5,Yes,Yes,70
Vaishno Devi (Katra),Clouds,July,23.4,No,Yes,44
Ayodhya,Clouds,August,28.1,Yes,No,49
Madurai,Heavy Rain,October,28.8,Yes,Yes,60
Rishikesh & Haridwar,Clear,June,24.7,No,Yes,38
Coorg,Clear,September,28.1,No,No,64
Pushkar,Clear,April,33.5,No,No,48
Pune,Rain,August,23.8,Yes,No,51
Ajmer,Clear,April,26.3,No,No,39
Shirdi,Clear,December,18.7,Yes,Yes,69
Alleppey,Clear,November,18.6,Yes,Yes,68
Agra,Clouds,December,15.4,Yes,Yes,65
Pushkar,Clear,May,40.1,No,Yes,44
Darjeeling,Rain,December,6.6,Yes,Yes,42
Varanasi,Clouds,December,8.2,Yes,Yes,45
Udaipur,Clear,September,27.1,No,No,47
Hampi,Clear,June,30.2,No,Yes,50
Mysuru,Clear,December,10.3,Yes,Yes,75
Mysuru,Clouds,January,8.4,Yes,Yes,69
Nashik,Rain,November,9.9,Yes,Yes,44
Goa,Clear,December,18.3,Yes,Yes,77
Prayagraj,Rain,January,5.3,Yes,Yes,55
Varanasi,Rain,January,5.2,Yes,Yes,41
Jodhpur,Clear,September,32.9,No,No,23
Somnath,Rain,April,27.5,No,No,36
Rishikesh & Haridwar,Rain,July,24,No,Yes,38
Visakhapatnam,Storm,August,29.1,Yes,No,53
Goa,Clear,January,22.4,Yes,Yes,76
Tirupati,Clear,October,19.2,Yes,Yes,72
Aurangabad,Clear,December,19,Yes,Yes,50
Ajmer,Clouds,May,35.8,No,Yes,34
Darjeeling,Clear,January,6.6,Yes,Yes,46
Rameswaram,Clear,September,26.5,No,No,41
Tirupati,Fog,November,18.6,Yes,Yes,72
Rameswaram,Clouds,October,18.1,Yes,Yes,59
Vijayawada,Clear,November,13.1,Yes,Yes,70
Somnath,Fog,May,37.5,No,Yes,24
Udaipur,Clear,October,29.1,Yes,Yes,62
Kolkata,Fog,December,5.9,Yes,Yes,63
Jodhpur,Clear,October,25.5,Yes,Yes,46
Goa,Storm,February,13.9,No,No,62
Srinagar,Rain,October,14,Yes,Yes,66
Goa,Clear,March,29.9,Yes,No,71
Ajmer,Clear,June,26.2,No,Yes,36
Jodhpur,Clear,November,25.2,Yes,Yes,48
Ayodhya,Rain,September,19.9,No,No,49
Jaisalmer,Clear,June,37.6,No,Yes,37
Ajmer,Fog,July,27.4,No,Yes,37
Pushkar,Clear,June,29.3,No,Yes,49
Jaisalmer,Clear,July,31.8,No,Yes,42
Hampi,Fog,July,18.3,No,Yes,51
Madurai,Fog,November,15.3,Yes,Yes,59
Prayagraj,Clear,February,22.6,No,No,56
Shimla,Clear,August,20,Yes,No,30
Alleppey,Clear,December,17.4,Yes,Yes,68
Bengaluru,Heavy Rain,August,29.7,Yes,No,45
Somnath,Rain,June,27.3,No,Yes,27
Alleppey,Rain,January,14.9,Yes,Yes,64
Amritsar,Fog,October,26.2,Yes,Yes,69
Varanasi,Clear,February,25.4,No,No,41
Delhi,Clouds,December,17.6,Yes,Yes,74
Prayagraj,Clouds,March,28.7,Yes,No,61
Chennai,Rain,December,19.9,Yes,Yes,59
Lucknow,Clouds,July,32,No,Yes,34
Vijayawada,Rain,December,14.1,Yes,Yes,71
Kanyakumari,Heavy Rain,October,18.1,Yes,Yes,69
Pushkar,Clouds,July,28.8,No,Yes,51
Ayodhya,Rain,October,25.9,Yes,Yes,67
Alleppey,Rain,February,23.6,No,No,58
Ayodhya,Heavy Rain,November,20.6,Yes,Yes,69
Lucknow,Clear,August,22.9,Yes,No,43
Mysuru,Rain,February,12.8,No,No,61
Kolkata,Clear,January,20.1,Yes,Yes,68
Kochi,Rain,July,25.9,No,Yes,36
Kochi,Rain,August,25.9,Yes,No,42
Agra,Clear,January,8.9,Yes,Yes,57
Rishikesh & Haridwar,Clouds,August,22,Yes,No,45
Vijayawada,Rain,January,8.2,Yes,Yes,63
Varanasi,Clear,March,27.9,Yes,No,51
Visakhapatnam,Fog,September,19.6,No,No,54
Madurai,Storm,December,9.1,Yes,Yes,58
Bengaluru,Rain,September,26.3,No,No,46
Pune,Rain,September,25.9,No,No,52
Kochi,Clear,September,22.6,No,No,43
Udaipur,Clear,November,25.5,Yes,Yes,64
Mumbai,Rain,July,23.4,No,Yes,24
Kanyakumari,Clear,November,17.6,Yes,Yes,71
Varanasi,Clear,April,29.3,No,No,36
Kodaikanal,Clear,October,16.5,Yes,Yes,59
Jaipur,Clear,September,27.1,No,No,47
Varanasi,Rain,May,26.1,No,Yes,33
Mathura & Vrindavan,Rain,March,20.6,Yes,No,62
Dharamshala,Clear,July,29.4,No,Yes,33
Shimla,Rain,September,16.7,No,No,27
Kochi,Clouds,October,18,Yes,Yes,57
Kodaikanal,Fog,November,6.4,Yes,Yes,51
Jaisalmer,Clear,August,28.5,Yes,No,51
Aurangabad,Clear,January,25.2,Yes,Yes,46
Lucknow,Heavy Rain,September,27.8,No,No,43
Manali,Clear,August,14.5,Yes,No,33
Ahmedabad,Clear,December,19.8,Yes,Yes,59
Kolkata,Clear,February,22.9,No,No,58
Vaishno Devi (Katra),Clear,August,33.7,Yes,No,44
Ajmer,Rain,August,26.1,Yes,No,42
Kodaikanal,Rain,December,7.2,Yes,Yes,39
Darjeeling,Clear,February,12.6,No,No,43
Prayagraj,Heavy Rain,April,23.8,No,No,46
Kochi,Clear,November,12.7,Yes,Yes,56
Kolkata,Clouds,March,24,Yes,No,65
Ayodhya,Fog,December,19,Yes,Yes,65
Darjeeling,Clouds,March,18.7,Yes,No,57
Jodhpur,Clear,December,21.3,Yes,Yes,48
Srinagar,Snow,November,1.4,Yes,Yes,56
Mumbai,Clouds,August,31.2,Yes,No,27
Ajmer,Fog,September,21.4,No,No,43
Bengaluru,Clear,October,24.8,Yes,Yes,63
Nainital,Clear,June,13.4,No,Yes,28
Shimla,Rain,October,7.6,Yes,Yes,37
Somnath,Rain,July,25.3,No,Yes,27
Darjeeling,Fog,April,15.2,No,No,51
Thiruvananthapuram,Fog,September,23.4,No,No,30
Darjeeling,Clouds,May,32,No,Yes,54
Ayodhya,Rain,January,13.6,Yes,Yes,61
Dwarka,Rain,December,7,Yes,Yes,67
Shirdi,Clouds,January,14.3,Yes,Yes,65
Alleppey,Clear,March,28.4,Yes,No,65
Ayodhya,Clear,February,20.9,No,No,56
Jaipur,Clear,October,22.6,Yes,Yes,63
Visakhapatnam,Rain,October,20.5,Yes,Yes,70
Nainital,Clear,July,25.2,No,Yes,24
Vaishno Devi (Katra),Clear,September,28.3,No,No,50
Srinagar,Clouds,December,-2.4,Yes,Yes,48
Dwarka,Clear,January,11.7,Yes,Yes,66
Manali,Rain,September,9.9,No,No,29
Somnath,Clouds,August,21.6,Yes,No,34
Dwarka,Clear,February,20.3,No,No,62
Aurangabad,Clouds,February,9.2,No,No,30
