Destination,Temperature_C,Condition,Wind_Speed_kmph,Safety
Jaipur,28.0,Rain,5.4,Safe
Pushkar,44.8,Clear,57.1,Moderate
Kodaikanal,19.3,Clear,15.7,Safe
Delhi,27.8,Clear,33.3,Safe
Kodaikanal,16.3,Rain,10.3,Safe
Agra,10.8,Cloudy,10.4,Safe
Mysuru,10.7,Cloudy,9.7,Safe
Udaipur,35.7,Clear,5.4,Safe
Nashik,19.8,Clear,7.3,Safe
Dharamshala,-1.2,Heavy Snow,9.0,Moderate
Manali,8.0,Rain,8.1,Moderate
Munnar,33.5,Cloudy,50.9,Moderate
Varanasi,18.0,Clear,42.7,Safe
Jodhpur,31.3,Clear,26.2,Safe
Somnath,16.6,Rain,42.7,Moderate
Shirdi,29.3,Clear,7.2,Safe
Darjeeling,5.3,Fog,14.8,Moderate
Amritsar,39.9,Clear,32.2,Safe
Mumbai,28.0,Cloudy,48.9,Safe
Varanasi,12.2,Clear,44.9,Safe
Prayagraj,14.7,Clear,8.0,Safe
Prayagraj,20.4,Cloudy,30.6,Safe
Ooty,10.8,Clear,30.4,Safe
Aurangabad,38.8,Clear,37.5,Safe
Madurai,14.5,Clear,26.1,Safe
Pushkar,38.3,Clear,23.0,Safe
Udaipur,33.1,Rain,13.4,Safe
Kochi,29.5,Cloudy,29.2,Safe
Somnath,25.2,Rain,22.3,Safe
Ahmedabad,18.0,Clear,36.4,Safe
Shimla,2.6,Fog,20.2,Moderate
Mysuru,37.8,Storm,39.7,Moderate
Delhi,19.0,Rain,39.9,Moderate
Vijayawada,25.0,Storm,39.0,Moderate
Madurai,26.5,Fog,23.5,Safe
Chennai,28.2,Cloudy,50.3,Moderate
Amritsar,29.8,Clear,37.9,Safe
Munnar,20.3,Rain,5.3,Safe
Shimla,7.2,Rain,40.0,Moderate
Mathura & Vrindavan,23.7,Clear,41.2,Safe
Agra,26.3,Clear,13.3,Safe
Tirupati,25.3,Clear,25.1,Safe
Mathura & Vrindavan,20.6,Storm,16.0,Moderate
Amritsar,30.0,Clear,37.9,Safe
Ajmer,27.3,Rain,34.9,Moderate
Statue of Unity (Kevadia),19.4,Fog,22.3,Safe
Lucknow,34.2,Rain,44.0,Moderate
Varanasi,17.4,Cloudy,29.8,Safe
Bengaluru,21.8,Clear,8.3,Safe
Mysuru,31.3,Storm,5.1,Moderate
Aurangabad,38.5,Clear,22.0,Safe
Rishikesh & Haridwar,11.9,Clear,26.9,Safe
Mathura & Vrindavan,26.5,Rain,26.1,Safe
Prayagraj,18.6,Fog,37.5,Moderate
Kanyakumari,22.3,Clear,30.6,Safe
Visakhapatnam,33.5,Rain,40.7,Moderate
Nainital,-5.0,Cloudy,15.6,Safe
Visakhapatnam,31.8,Cloudy,37.4,Safe
Vijayawada,21.0,Clear,13.4,Safe
Ooty,11.1,Clear,8.8,Safe
Manali,0.0,Clear,7.5,Safe
Madurai,15.6,Clear,27.2,Safe
Nashik,17.2,Rain,34.1,Moderate
Darjeeling,-3.4,Clear,38.5,Moderate
Aurangabad,38.0,Cloudy,38.2,Safe
Pune,16.8,Rain,8.7,Safe
Prayagraj,12.7,Fog,38.4,Moderate
Nashik,36.7,Clear,37.8,Safe
Visakhapatnam,21.0,Clear,20.6,Safe
Ooty,11.3,Rain,30.1,Moderate
Srinagar,1.2,Clear,39.9,Safe
Agra,18.3,Clear,42.9,Safe
Shirdi,11.4,Clear,40.2,Safe
Amritsar,35.3,Clear,8.4,Safe
Shirdi,32.6,Rain,9.8,Safe
Amritsar,24.7,Rain,10.6,Safe
Pushkar,42.3,Clear,17.4,Safe
Ahmedabad,39.0,Clear,22.9,Safe
Manali,-4.8,Snow,6.0,Unsafe
Ahmedabad,21.8,Cloudy,35.7,Safe
Mumbai,33.6,Cloudy,13.1,Safe
Visakhapatnam,21.1,Clear,57.1,Moderate
Alleppey,32.6,Cloudy,33.5,Safe
Thiruvananthapuram,33.8,Storm,56.1,Unsafe
Rishikesh & Haridwar,6.1,Clear,13.8,Safe
Kolkata,14.9,Heavy Rain,17.9,Moderate
Kanyakumari,29.9,Clear,49.9,Safe
Agra,28.2,Rain,9.6,Safe
Darjeeling,14.7,Clear,16.7,Safe
Munnar,21.5,Rain,20.2,Safe
Srinagar,5.6,Cloudy,13.5,Safe
Munnar,31.2,Heavy Rain,15.8,Moderate
Rishikesh & Haridwar,7.8,Rain,7.7,Moderate
Dwarka,28.5,Clear,14.7,Safe
Ajmer,11.0,Clear,44.1,Safe
Kolkata,36.2,Rain,37.3,Moderate
Pushkar,37.6,Clear,30.3,Safe
Udaipur,15.1,Clear,9.0,Safe
Vijayawada,26.8,Fog,15.3,Safe
Alleppey,29.9,Rain,56.4,Moderate
Goa,20.9,Clear,41.7,Safe
Vaishno Devi (Katra),6.2,Fog,14.1,Moderate
Coorg,24.6,Cloudy,9.1,Safe
Varanasi,38.7,Clear,8.7,Safe
Pushkar,40.4,Clear,14.4,Safe
Pushkar,22.3,Clear,19.3,Safe
Darjeeling,-4.0,Snow,24.6,Unsafe
Agra,15.3,Fog,25.7,Safe
Aurangabad,38.1,Cloudy,29.6,Safe
Ahmedabad,21.1,Fog,44.6,Moderate
Rameswaram,20.9,Cloudy,17.0,Safe
Kodaikanal,19.3,Clear,23.2,Safe
Agra,17.8,Clear,30.5,Safe
Kolkata,11.9,Rain,25.1,Safe
Ooty,11.2,Clear,29.7,Safe
Bengaluru,14.6,Heavy Rain,31.3,Moderate
Delhi,34.6,Clear,39.1,Safe
Pune,14.8,Cloudy,34.1,Safe
Statue of Unity (Kevadia),13.8,Clear,22.3,Safe
Coorg,17.3,Rain,30.0,Moderate
Jodhpur,24.0,Clear,76.1,Moderate
Delhi,23.5,Fog,8.9,Safe
Mathura & Vrindavan,29.9,Clear,44.0,Safe
Dwarka,37.7,Clear,32.9,Safe
Thiruvananthapuram,26.5,Clear,6.3,Safe
Statue of Unity (Kevadia),24.5,Clear,17.1,Safe
Prayagraj,14.6,Clear,43.8,Safe
Hampi,9.5,Rain,31.6,Moderate
Goa,33.7,Rain,58.3,Moderate
Pushkar,35.1,Clear,7.9,Safe
Mumbai,26.7,Rain,21.0,Safe
Agra,37.1,Cloudy,38.4,Safe
Pushkar,37.6,Cloudy,13.5,Safe
Kolkata,39.9,Fog,20.3,Safe
Darjeeling,10.2,Cloudy,34.9,Safe
Darjeeling,8.5,Clear,18.5,Safe
Ayodhya,36.8,Rain,15.0,Safe
Coorg,20.3,Cloudy,14.8,Safe
Chennai,31.4,Rain,35.7,Moderate
Kochi,27.1,Clear,8.6,Safe
Alleppey,25.9,Clear,50.9,Moderate
Goa,21.2,Clear,40.7,Safe
Pune,16.7,Heavy Rain,10.7,Safe
Ooty,16.0,Fog,22.5,Safe
Rameswaram,34.8,Rain,10.2,Safe
Pushkar,38.5,Clear,72.9,Moderate
Munnar,21.0,Rain,44.1,Moderate
Dharamshala,3.8,Clear,33.0,Safe
Munnar,29.0,Cloudy,13.7,Safe
Madurai,31.3,Clear,16.7,Safe
Jaisalmer,40.8,Clear,64.1,Moderate
Dharamshala,3.1,Cloudy,19.9,Safe
Dwarka,16.1,Rain,40.7,Moderate
Aurangabad,14.5,Heavy Rain,31.3,Moderate
Nashik,23.5,Clear,39.7,Safe
Statue of Unity (Kevadia),20.6,Clear,21.4,Safe
Alleppey,33.8,Heavy Rain,45.1,Unsafe
Kanyakumari,24.9,Rain,5.4,Safe
Ahmedabad,33.5,Clear,42.9,Safe
Kanyakumari,28.2,Clear,31.4,Safe
Darjeeling,11.1,Clear,17.8,Safe
Jaipur,37.3,Clear,32.1,Safe
Thiruvananthapuram,24.6,Fog,47.4,Moderate
Nashik,34.2,Cloudy,21.1,Safe
Srinagar,12.6,Fog,33.9,Moderate
Varanasi,35.8,Clear,33.8,Safe
Kochi,27.6,Cloudy,57.3,Moderate
Ooty,11.8,Clear,6.8,Safe
Mysuru,24.3,Clear,8.2,Safe
Madurai,21.9,Rain,6.2,Safe
Nainital,12.7,Clear,29.2,Safe
Dwarka,33.6,Clear,35.5,Safe
Mysuru,25.8,Heavy Rain,36.5,Moderate
Ahmedabad,18.2,Rain,21.0,Safe
Jodhpur,23.6,Clear,25.0,Safe
Jaisalmer,29.2,Clear,78.2,Moderate
Prayagraj,22.7,Clear,38.8,Safe
Nashik,17.9,Clear,21.9,Safe
Chennai,30.9,Clear,5.2,Safe
Kochi,30.3,Rain,18.5,Safe
Tirupati,23.0,Clear,31.9,Safe
Nainital,2.7,Clear,6.7,Safe
Prayagraj,31.1,Clear,32.5,Safe
Dwarka,29.4,Clear,23.9,Safe
Dwarka,14.1,Cloudy,17.0,Safe
Chennai,25.6,Cloudy,35.9,Safe
Jaisalmer,23.1,Cloudy,38.8,Safe
Srinagar,10.8,Clear,32.7,Safe
Kanyakumari,30.5,Storm,6.6,Moderate
Chennai,23.3,Clear,46.5,Safe
Thiruvananthapuram,25.6,Heavy Rain,7.5,Moderate
Thiruvananthapuram,31.6,Rain,34.0,Moderate
Visakhapatnam,34.4,Rain,36.0,Moderate
Coorg,24.0,Cloudy,18.1,Safe
Aurangabad,31.4,Rain,34.4,Moderate
Vijayawada,34.4,Clear,30.2,Safe
Hampi,18.6,Clear,7.5,Safe
Amritsar,32.9,Clear,37.2,Safe
Amritsar,24.4,Clear,10.3,Safe
Shimla,-3.6,Clear,27.3,Safe
Mysuru,35.1,Clear,41.8,Safe
Vijayawada,13.6,Rain,5.4,Safe
Shirdi,33.9,Rain,38.8,Moderate
Rameswaram,28.5,Cloudy,42.6,Safe
Kolkata,25.4,Heavy Rain,44.7,Moderate
Pune,27.9,Rain,18.7,Safe
Mathura & Vrindavan,33.7,Cloudy,7.6,Safe
Chennai,21.8,Clear,27.3,Safe
Bengaluru,10.9,Cloudy,16.2,Safe
Shirdi,30.0,Rain,25.5,Safe
Shirdi,22.0,Clear,43.6,Safe
Rishikesh & Haridwar,-4.6,Clear,10.4,Safe
Vijayawada,27.9,Clear,8.6,Safe
Hampi,9.8,Rain,28.1,Safe
Jaipur,15.9,Clear,40.4,Safe
Udaipur,37.9,Clear,14.5,Safe
Pushkar,36.3,Clear,65.4,Moderate
Agra,25.1,Rain,26.9,Safe
Chennai,28.4,Clear,18.4,Safe
Tirupati,29.8,Clear,26.3,Safe
Vaishno Devi (Katra),11.9,Rain,20.9,Moderate
Varanasi,34.9,Cloudy,39.5,Safe
Coorg,17.2,Clear,33.6,Safe
Dwarka,14.3,Rain,24.8,Safe
Vijayawada,34.2,Clear,12.7,Safe
Jaisalmer,24.9,Storm,55.8,Unsafe
Darjeeling,7.1,Fog,32.1,Moderate
Vijayawada,32.1,Heavy Rain,20.2,Moderate
Goa,20.8,Fog,16.7,Safe
Nainital,13.3,Rain,14.2,Moderate
Madurai,11.6,Clear,38.5,Safe
Tirupati,33.5,Clear,13.8,Safe
Mysuru,37.2,Rain,33.7,Moderate
Alleppey,24.4,Storm,58.5,Unsafe
Tirupati,18.6,Clear,38.6,Safe
Dwarka,37.2,Fog,23.7,Safe
Mumbai,32.1,Storm,8.6,Moderate
Ayodhya,25.2,Fog,13.6,Safe
Mathura & Vrindavan,37.7,Cloudy,37.0,Safe
Ajmer,31.3,Clear,11.3,Safe
Nashik,27.0,Heavy Rain,30.1,Moderate
Aurangabad,33.9,Clear,10.9,Safe
Delhi,33.9,Clear,14.7,Safe
Chennai,34.1,Rain,11.2,Safe
Nashik,13.0,Clear,10.8,Safe
Shirdi,26.9,Clear,35.3,Safe
Manali,9.4,Cloudy,30.2,Safe
Kodaikanal,15.6,Clear,19.9,Safe
Agra,22.9,Cloudy,31.2,Safe
Mathura & Vrindavan,28.4,Clear,21.7,Safe
Dwarka,20.6,Rain,30.5,Moderate
Vijayawada,17.1,Clear,29.5,Safe
Pushkar,30.0,Clear,11.4,Safe
Nainital,14.0,Fog,41.9,Moderate
Goa,27.3,Storm,29.1,Moderate
Pushkar,24.0,Clear,20.2,Safe
Prayagraj,23.3,Rain,41.1,Moderate
Coorg,15.1,Rain,28.2,Safe
Ahmedabad,27.6,Clear,38.1,Safe
Darjeeling,12.5,Rain,41.0,Moderate
Nashik,32.3,Fog,5.3,Safe
Vaishno Devi (Katra),14.6,Clear,13.1,Safe
Mysuru,32.1,Clear,17.5,Safe
Kanyakumari,29.6,Heavy Rain,29.6,Moderate
Coorg,12.5,Clear,24.6,Safe
Jodhpur,38.1,Clear,22.1,Safe
Srinagar,7.5,Rain,42.5,Moderate
Kolkata,14.2,Cloudy,13.2,Safe
Srinagar,-0.8,Clear,38.1,Safe
Alleppey,22.4,Clear,36.5,Safe
Aurangabad,14.4,Clear,32.4,Safe
Delhi,10.5,Heavy Rain,25.1,Safe
Mathura & Vrindavan,35.7,Cloudy,25.3,Safe
Kanyakumari,24.9,Clear,37.3,Safe
Jaipur,17.0,Clear,19.5,Safe
Ayodhya,32.9,Cloudy,26.2,Safe
Shimla,13.6,Clear,42.3,Safe
Manali,0.6,Cloudy,37.7,Safe
Alleppey,26.2,Clear,50.2,Moderate
Mathura & Vrindavan,19.3,Clear,7.3,Safe
Shimla,8.3,Clear,34.8,Safe
Kodaikanal,9.8,Rain,10.6,Safe
Mathura & Vrindavan,39.7,Cloudy,15.1,Safe
Rameswaram,31.7,Rain,14.2,Safe
Rameswaram,29.5,Rain,40.5,Moderate
Ayodhya,36.5,Rain,23.8,Safe
Munnar,22.3,Clear,16.0,Safe
Kodaikanal,10.3,Cloudy,26.0,Safe
Manali,7.0,Clear,34.3,Safe
Thiruvananthapuram,34.4,Storm,49.4,Unsafe
Tirupati,21.0,Clear,35.9,Safe
Shirdi,24.7,Clear,37.3,Safe
Kolkata,15.8,Cloudy,17.5,Safe
Darjeeling,6.5,Clear,23.2,Safe
Amritsar,19.5,Cloudy,42.0,Safe
Delhi,36.3,Rain,29.8,Safe
Pune,11.4,Storm,21.1,Safe
Aurangabad,14.0,Clear,26.2,Safe
Delhi,35.9,Clear,43.8,Safe
Alleppey,28.2,Rain,41.7,Moderate
Tirupati,15.4,Rain,39.1,Moderate
Prayagraj,27.0,Rain,11.8,Safe
Srinagar,-1.4,Clear,43.9,Safe
Prayagraj,26.3,Clear,12.5,Safe
Dwarka,18.7,Clear,18.3,Safe
Lucknow,33.5,Heavy Rain,25.9,Moderate
Kodaikanal,18.0,Rain,18.5,Safe
Mumbai,30.6,Cloudy,20.9,Safe
Mathura & Vrindavan,25.1,Clear,14.9,Safe
Varanasi,34.5,Clear,31.5,Safe
Kochi,34.6,Cloudy,11.1,Safe
Shirdi,27.1,Clear,15.2,Safe
Chennai,27.4,Fog,56.8,Moderate
Delhi,16.6,Storm,21.8,Safe
Varanasi,17.9,Clear,27.5,Safe
Mathura & Vrindavan,36.2,Clear,28.3,Safe
Chennai,34.4,Clear,56.5,Moderate
Rishikesh & Haridwar,-4.5,Clear,32.9,Moderate
Alleppey,21.1,Fog,20.2,Safe
Kolkata,33.8,Cloudy,17.5,Safe
Bengaluru,34.8,Rain,28.0,Safe
Pune,27.3,Clear,13.7,Safe
Shirdi,13.8,Fog,38.7,Moderate
Shimla,3.2,Cloudy,29.7,Safe
Dwarka,24.1,Clear,21.8,Safe
Prayagraj,32.8,Clear,27.0,Safe
Ooty,10.0,Rain,10.2,Safe
Dharamshala,-3.8,Clear,31.6,Moderate
Munnar,29.1,Rain,13.5,Safe
Dharamshala,13.3,Clear,30.5,Safe
Udaipur,22.3,Rain,17.7,Safe
Shirdi,28.9,Heavy Rain,41.4,Unsafe
Visakhapatnam,24.3,Clear,29.7,Safe
Bengaluru,16.6,Clear,34.3,Safe
Goa,22.3,Clear,27.7,Safe
Lucknow,13.5,Fog,10.6,Safe
Tirupati,37.3,Rain,20.0,Safe
Jaipur,12.9,Rain,14.3,Safe
Bengaluru,29.8,Heavy Rain,5.8,Safe
Goa,31.5,Fog,13.9,Safe
Ahmedabad,10.9,Clear,17.9,Safe
Varanasi,11.8,Clear,44.4,Safe
Rameswaram,21.5,Clear,53.5,Moderate
Jaisalmer,34.6,Cloudy,32.7,Safe
Mysuru,27.7,Rain,13.1,Safe
Mysuru,11.5,Clear,31.1,Safe
Munnar,26.4,Clear,56.5,Moderate
Ahmedabad,30.6,Heavy Rain,16.2,Safe
Ooty,19.5,Rain,16.9,Safe
Thiruvananthapuram,32.2,Heavy Rain,21.2,Moderate
Madurai,29.4,Rain,11.6,Safe
Jodhpur,25.8,Clear,39.6,Safe
Darjeeling,14.4,Rain,10.2,Moderate
Aurangabad,12.7,Fog,34.0,Moderate
Coorg,21.3,Clear,5.1,Safe
Rameswaram,26.2,Heavy Rain,31.9,Unsafe
Lucknow,18.5,Rain,24.5,Safe
Pushkar,21.0,Clear,35.9,Safe
Kodaikanal,24.2,Clear,6.6,Safe
Ahmedabad,20.9,Clear,19.1,Safe
Jodhpur,38.1,Clear,30.3,Safe
Visakhapatnam,24.6,Clear,43.8,Safe
Mathura & Vrindavan,26.9,Cloudy,30.0,Safe
Manali,9.9,Clear,28.5,Safe
Agra,37.9,Rain,39.6,Moderate
Vaishno Devi (Katra),14.3,Clear,30.1,Safe
Statue of Unity (Kevadia),12.5,Heavy Rain,28.7,Moderate
Pushkar,41.0,Clear,38.3,Moderate
Udaipur,23.8,Clear,37.6,Safe
Pushkar,32.5,Cloudy,13.3,Safe
Nashik,23.1,Clear,39.4,Safe
Tirupati,20.8,Clear,35.1,Safe
Aurangabad,38.2,Clear,21.5,Safe
Vaishno Devi (Katra),14.8,Fog,32.5,Moderate
Ayodhya,27.6,Clear,31.8,Safe
Vijayawada,38.2,Rain,8.2,Safe
Vaishno Devi (Katra),14.5,Cloudy,26.3,Safe
Ayodhya,22.5,Cloudy,24.9,Safe
Madurai,16.3,Heavy Rain,40.5,Moderate
Rishikesh & Haridwar,2.4,Clear,23.6,Safe
Coorg,18.4,Clear,10.4,Safe
Pushkar,25.7,Clear,6.3,Safe
Pune,18.4,Rain,28.3,Safe
Ajmer,12.5,Clear,30.1,Safe
Shirdi,33.7,Clear,17.0,Safe
Alleppey,27.3,Clear,39.6,Safe
Agra,30.1,Cloudy,13.7,Safe
Pushkar,25.5,Clear,47.1,Safe
Darjeeling,11.5,Rain,34.3,Moderate
Varanasi,22.6,Cloudy,25.9,Safe
Udaipur,38.4,Clear,39.8,Safe
Hampi,23.5,Clear,26.0,Safe
Mysuru,17.4,Clear,6.7,Safe
Mysuru,30.2,Cloudy,32.7,Safe
Nashik,39.5,Rain,44.6,Moderate
Goa,23.1,Clear,10.4,Safe
Prayagraj,13.6,Rain,29.3,Safe
Varanasi,28.1,Rain,13.1,Safe
Jodhpur,27.4,Clear,12.2,Safe
Somnath,11.8,Rain,15.4,Safe
Rishikesh & Haridwar,13.5,Rain,31.4,Moderate
Visakhapatnam,34.8,Storm,20.4,Moderate
Goa,21.6,Clear,12.9,Safe
Tirupati,40.0,Clear,36.0,Moderate
Aurangabad,31.0,Clear,21.0,Safe
Ajmer,21.5,Cloudy,21.9,Safe
Darjeeling,-4.6,Clear,28.8,Safe
Rameswaram,21.2,Clear,46.9,Safe
Tirupati,12.2,Fog,9.2,Safe
Rameswaram,26.5,Cloudy,38.5,Safe
Vijayawada,20.3,Clear,5.3,Safe
Somnath,38.4,Fog,33.1,Moderate
Udaipur,32.0,Clear,41.4,Safe
Kolkata,17.6,Fog,29.3,Safe
Jodhpur,40.4,Clear,26.6,Safe
Goa,33.0,Storm,38.2,Unsafe
Srinagar,8.9,Rain,16.8,Moderate
Goa,22.9,Clear,12.1,Safe
Ajmer,13.8,Clear,29.8,Safe
Jodhpur,35.1,Clear,70.5,Moderate
Ayodhya,39.7,Rain,9.8,Safe
Jaisalmer,22.7,Clear,7.3,Safe
Ajmer,14.1,Fog,33.2,Moderate
Pushkar,32.2,Clear,26.5,Safe
Jaisalmer,24.0,Clear,34.8,Safe
Hampi,14.5,Fog,30.2,Moderate
Madurai,11.0,Fog,17.6,Safe
Prayagraj,28.9,Clear,11.0,Safe
Shimla,9.5,Clear,13.7,Safe
Alleppey,31.4,Clear,10.7,Safe
Bengaluru,36.4,Heavy Rain,37.6,Moderate
Somnath,21.2,Rain,10.7,Safe
Alleppey,28.9,Rain,57.5,Moderate
Amritsar,11.9,Fog,9.3,Safe
Varanasi,34.9,Clear,7.3,Safe
Delhi,13.7,Cloudy,6.6,Safe
Prayagraj,39.3,Cloudy,16.3,Safe
Chennai,23.1,Rain,55.7,Moderate
Lucknow,12.4,Cloudy,7.6,Safe
Vijayawada,10.7,Rain,31.5,Moderate
Kanyakumari,28.6,Heavy Rain,26.7,Moderate
Pushkar,40.2,Cloudy,22.6,Safe
Ayodhya,28.6,Rain,10.9,Safe
Alleppey,25.3,Rain,13.3,Safe
Ayodhya,32.0,Heavy Rain,44.0,Moderate
Lucknow,13.7,Clear,31.6,Safe
Mysuru,11.0,Rain,5.6,Safe
Kolkata,31.9,Clear,15.5,Safe
Kochi,25.8,Rain,58.6,Moderate
Kochi,23.4,Rain,37.0,Moderate
Agra,15.1,Clear,25.6,Safe
Rishikesh & Haridwar,-2.5,Cloudy,33.9,Moderate
Vijayawada,21.9,Rain,8.3,Safe
Varanasi,26.5,Clear,39.9,Safe
Visakhapatnam,25.8,Fog,38.8,Moderate
Madurai,18.2,Storm,24.6,Moderate
Bengaluru,34.7,Rain,16.0,Safe
Pune,36.2,Rain,32.4,Moderate
Kochi,26.5,Clear,55.9,Moderate
Udaipur,10.3,Clear,37.9,Safe
Mumbai,24.8,Rain,56.9,Moderate
Kanyakumari,23.8,Clear,5.1,Safe
Varanasi,13.0,Clear,18.6,Safe
Kodaikanal,24.4,Clear,6.1,Safe
Jaipur,10.1,Clear,41.1,Safe
Varanasi,37.2,Rain,8.7,Safe
Mathura & Vrindavan,33.1,Rain,18.3,Safe
Dharamshala,5.8,Clear,32.5,Safe
Shimla,-4.2,Rain,12.6,Moderate
Kochi,26.0,Cloudy,46.3,Safe
Kodaikanal,17.7,Fog,18.7,Safe
Jaisalmer,34.3,Clear,31.1,Safe
Aurangabad,33.5,Clear,24.8,Safe
Lucknow,10.8,Heavy Rain,27.5,Moderate
Manali,9.7,Clear,37.0,Safe
Ahmedabad,15.1,Clear,41.1,Safe
Kolkata,17.5,Clear,42.4,Safe
Vaishno Devi (Katra),11.5,Clear,42.8,Safe
Ajmer,28.0,Rain,11.0,Safe
Kodaikanal,19.0,Rain,8.4,Safe
Darjeeling,6.8,Clear,33.1,Safe
Prayagraj,12.4,Heavy Rain,29.8,Moderate
Kochi,31.4,Clear,20.9,Safe
Kolkata,15.8,Cloudy,5.7,Safe
Ayodhya,15.1,Fog,11.2,Safe
Darjeeling,4.8,Cloudy,19.0,Safe
Jodhpur,26.4,Clear,38.3,Safe
Srinagar,-3.7,Snow,7.6,Unsafe
Mumbai,21.3,Cloudy,55.3,Moderate
Ajmer,27.3,Fog,16.1,Safe
Bengaluru,14.6,Clear,19.2,Safe
Nainital,13.8,Clear,43.9,Safe
Shimla,-2.0,Rain,31.8,Unsafe
Somnath,31.9,Rain,7.3,Safe
Darjeeling,2.3,Fog,32.5,Moderate
Thiruvananthapuram,32.5,Fog,18.5,Safe
Darjeeling,5.1,Cloudy,36.0,Safe
Ayodhya,33.2,Rain,30.7,Moderate
Dwarka,39.5,Rain,38.7,Moderate
Shirdi,20.2,Cloudy,8.4,Safe
Alleppey,32.5,Clear,50.6,Moderate
Ayodhya,25.8,Clear,11.9,Safe
Jaipur,12.0,Clear,7.6,Safe
Visakhapatnam,23.7,Rain,13.6,Safe
Nainital,4.7,Clear,23.7,Safe
Vaishno Devi (Katra),-1.7,Clear,31.7,Safe
Srinagar,-0.8,Cloudy,27.3,Safe
Dwarka,27.0,Clear,35.2,Safe
Manali,4.8,Rain,32.9,Moderate
Somnath,17.5,Cloudy,24.8,Safe
Dwarka,17.5,Clear,16.3,Safe
Aurangabad,17.7,Cloudy,21.2,Safe
Kodaikanal,16.6,Clear,25.1,Safe
Srinagar,1.7,Heavy Snow,22.4,Moderate
Munnar,31.5,Clear,43.7,Safe
Coorg,16.3,Clear,10.4,Safe
Jodhpur,20.6,Storm,16.6,Moderate
Munnar,32.2,Clear,14.6,Safe
Srinagar,3.1,Cloudy,27.9,Safe
Kochi,33.5,Cloudy,8.3,Safe
Munnar,31.1,Rain,9.0,Safe
Jaipur,28.4,Clear,33.7,Safe
Varanasi,18.0,Rain,23.2,Safe
Srinagar,-3.0,Clear,5.7,Safe
Kodaikanal,16.1,Clear,25.9,Safe
Thiruvananthapuram,28.4,Rain,8.2,Safe
Dwarka,19.0,Clear,44.6,Safe
Alleppey,23.4,Clear,10.2,Safe
Ooty,12.4,Clear,30.5,Safe
Nainital,14.2,Cloudy,21.2,Safe
Tirupati,11.0,Rain,9.1,Safe
Alleppey,21.9,Clear,30.2,Safe
Vijayawada,18.6,Cloudy,10.8,Safe
Delhi,14.6,Clear,37.7,Safe
Nainital,0.3,Cloudy,8.7,Safe
Aurangabad,28.7,Clear,35.5,Safe
Rameswaram,22.1,Clear,29.8,Safe
Amritsar,11.8,Clear,29.7,Safe
Kochi,23.3,Cloudy,24.9,Safe
Visakhapatnam,34.2,Heavy Rain,40.2,Unsafe
Nashik,22.1,Clear,17.1,Safe
Nainital,4.7,Fog,10.9,Moderate
Amritsar,17.0,Clear,12.2,Safe
Ooty,22.7,Cloudy,31.4,Safe
