Destination,Condition,Hotel_Rating,Price
Mysuru,Storm,2,2290
Aurangabad,Clear,3,2050
Rishikesh & Haridwar,Clear,1,1940
Mathura & Vrindavan,Rain,3,2200
Prayagraj,Fog,2,2170
Kanyakumari,Clear,2,1920
Visakhapatnam,Rain,2,2050
Nainital,Clouds,1,2460
Visakhapatnam,Clouds,4,2820
Vijayawada,Clear,2,1710
Ooty,Clear,2,2970
Manali,Clear,1,2430
Madurai,Clear,2,1700
Nashik,Rain,3,2200
Darjeeling,Clear,4,2630
Aurangabad,Clouds,1,1540
Pune,Rain,5,3670
Prayagraj,Fog,1,1890
Nashik,Clear,3,1950
Visakhapatnam,Clear,3,2120
Ooty,Rain,2,3270
Srinagar,Clear,3,1960
Agra,Clear,1,2620
Shirdi,Clear,5,3960
Amritsar,Clear,4,4650
Shirdi,Rain,3,2760
Amritsar,Rain,5,6060
Pushkar,Clear,5,3340
Ahmedabad,Clear,5,3330
Manali,Snow,2,3030
Ahmedabad,Clouds,4,2650
Mumbai,Clouds,5,3180
Visakhapatnam,Clear,1,1500
Alleppey,Clouds,3,2200
Thiruvananthapuram,Storm,1,1690
Rishikesh & Haridwar,Clear,4,3040
Kolkata,Heavy Rain,5,8950
Kanyakumari,Clear,4,2480
Agra,Rain,5,6190
Darjeeling,Clear,3,2080
Munnar,Rain,5,5740
Srinagar,Clouds,2,1960
Munnar,Heavy Rain,3,3530
Rishikesh & Haridwar,Rain,3,2790
Dwarka,Clear,1,1890
Ajmer,Clear,5,5750
Kolkata,Rain,3,5980
Pushkar,Clear,1,1480
Udaipur,Clear,5,5330
Vijayawada,Fog,1,1430
Alleppey,Rain,2,2180
Goa,Clear,1,2530
Vaishno Devi (Katra),Fog,4,2400
Coorg,Clouds,4,2750
Varanasi,Clear,2,1790
Pushkar,Clear,5,3380
Pushkar,Clear,4,2590
Darjeeling,Snow,3,2080
Agra,Fog,1,2720
Aurangabad,Clouds,5,3560
Ahmedabad,Fog,1,1570
Rameswaram,Clouds,3,2040
Kodaikanal,Clear,3,3310
Agra,Clear,2,3030
Kolkata,Rain,3,5450
Ooty,Clear,3,3320
Bengaluru,Heavy Rain,1,4350
Delhi,Clear,2,4190
Pune,Clouds,2,1790
Statue of Unity (Kevadia),Clear,2,1930
Coorg,Rain,3,2430
Jodhpur,Clear,2,3250
Delhi,Fog,3,4280
Mathura & Vrindavan,Clear,2,1780
Dwarka,Clear,5,3830
Thiruvananthapuram,Clear,1,1560
Statue of Unity (Kevadia),Clear,4,2380
Prayagraj,Clear,2,2240
Hampi,Rain,1,3010
Goa,Rain,5,6580
Pushkar,Clear,4,2630
Mumbai,Rain,4,2780
Agra,Clouds,5,5670
Pushkar,Clouds,5,3570
Kolkata,Fog,4,5320
Darjeeling,Clouds,3,2180
Darjeeling,Clear,4,2630
Ayodhya,Rain,5,4680
Coorg,Clouds,5,3400
Chennai,Rain,1,4550
Kochi,Clear,4,2700
Alleppey,Clear,2,1830
Goa,Clear,4,4500
Pune,Heavy Rain,4,3090
Ooty,Fog,1,2570
Rameswaram,Rain,4,2900
Pushkar,Clear,1,1410
Munnar,Rain,4,4570
Dharamshala,Clear,4,2690
Munnar,Clouds,5,5180
Madurai,Clear,1,1420
Jaisalmer,Clear,3,3530
Dharamshala,Clouds,4,2720
Dwarka,Rain,3,2880
Aurangabad,Heavy Rain,3,2460
Nashik,Clear,2,1810
Statue of Unity (Kevadia),Clear,4,2440
Alleppey,Heavy Rain,1,1850
Kanyakumari,Rain,3,2260
Ahmedabad,Clear,4,2480
Kanyakumari,Clear,1,1430
Darjeeling,Clear,5,3120
Jaipur,Clear,3,3550
Thiruvananthapuram,Fog,1,1480
Nashik,Clouds,2,1870
Srinagar,Fog,5,3270
Varanasi,Clear,2,1890
Kochi,Clouds,4,2600
Ooty,Clear,4,3820
Mysuru,Clear,5,3350
Madurai,Rain,3,2240
Nainital,Clear,2,2810
Dwarka,Clear,5,4110
Mysuru,Heavy Rain,5,3540
Ahmedabad,Rain,2,2210
Jodhpur,Clear,2,2990
Jaisalmer,Clear,3,3480
Prayagraj,Clear,2,2090
Nashik,Clear,5,3030
Chennai,Clear,2,4310
Kochi,Rain,3,2430
Tirupati,Clear,2,2130
Nainital,Clear,5,5120
Prayagraj,Clear,2,2140
Dwarka,Clear,2,2120
Dwarka,Clouds,3,2660
Chennai,Clouds,4,5800
Jaisalmer,Clouds,3,3480
Srinagar,Clear,3,1960
Kanyakumari,Storm,1,1760
Chennai,Clear,1,3600
Thiruvananthapuram,Heavy Rain,5,3890
Thiruvananthapuram,Rain,2,2050
Visakhapatnam,Rain,3,2160
Coorg,Clouds,1,1660
Aurangabad,Rain,2,2090
Vijayawada,Clear,1,1540
Hampi,Clear,4,4190
Amritsar,Clear,5,5390
Amritsar,Clear,4,4600
Shimla,Clear,5,3020
Mysuru,Clear,1,1590
Vijayawada,Rain,1,1650
Shirdi,Rain,4,3300
Rameswaram,Clouds,2,1860
Kolkata,Heavy Rain,4,7540
Pune,Rain,1,1640
Mathura & Vrindavan,Clouds,1,1590
Chennai,Clear,2,4060
Bengaluru,Clouds,4,6160
Shirdi,Rain,5,4170
Shirdi,Clear,3,2290
Rishikesh & Haridwar,Clear,5,3700
Vijayawada,Clear,4,2440
Hampi,Rain,2,3650
Jaipur,Clear,4,4160
Udaipur,Clear,5,5860
Pushkar,Clear,4,2400
Agra,Rain,3,3990
Chennai,Clear,2,4220
Tirupati,Clear,3,2430
Vaishno Devi (Katra),Rain,4,2990
Varanasi,Clouds,4,2750
Coorg,Clear,3,1930
Dwarka,Rain,5,4290
Vijayawada,Clear,2,1900
Jaisalmer,Storm,5,6720
Darjeeling,Fog,3,2050
Vijayawada,Heavy Rain,1,1750
Goa,Fog,3,3710
Nainital,Rain,1,2930
Madurai,Clear,1,1440
Tirupati,Clear,1,1860
Mysuru,Rain,4,2800
Alleppey,Storm,5,3740
Tirupati,Clear,1,1810
Dwarka,Fog,4,2910
Mumbai,Storm,4,2840
Ayodhya,Fog,1,1890
Mathura & Vrindavan,Clouds,3,2120
Ajmer,Clear,5,5970
Nashik,Heavy Rain,3,2190
Aurangabad,Clear,4,2360
Delhi,Clear,5,7460
Chennai,Rain,2,4770
Nashik,Clear,5,3290
Shirdi,Clear,2,2120
Manali,Clouds,1,2680
Kodaikanal,Clear,1,2370
Agra,Clouds,5,5810
Mathura & Vrindavan,Clear,3,1980
Dwarka,Rain,1,2210
Vijayawada,Clear,5,3220
Pushkar,Clear,3,1930
Nainital,Fog,2,2730
Goa,Storm,5,7040
Pushkar,Clear,4,2370
Prayagraj,Rain,4,3370
Coorg,Rain,1,1760
Ahmedabad,Clear,3,1960
Darjeeling,Rain,3,2210
Nashik,Fog,2,1900
Vaishno Devi (Katra),Clear,3,1920
Mysuru,Clear,3,2020
Kanyakumari,Heavy Rain,4,2770
Coorg,Clear,2,1760
Jodhpur,Clear,3,3750
Srinagar,Rain,5,3850
Kolkata,Clouds,4,6200
Srinagar,Clear,1,1620
Alleppey,Clear,4,2490
Aurangabad,Clear,4,2630
Delhi,Heavy Rain,5,8730
Mathura & Vrindavan,Clouds,1,1550
Kanyakumari,Clear,5,3270
Jaipur,Clear,3,3650
Ayodhya,Clouds,4,3020
Shimla,Clear,5,3190
Manali,Clouds,4,4280
Alleppey,Clear,2,1880
Mathura & Vrindavan,Clear,5,3400
Shimla,Clear,1,1420
Kodaikanal,Rain,4,4470
Mathura & Vrindavan,Clouds,4,2530
Rameswaram,Rain,2,2150
Rameswaram,Rain,4,2900
Ayodhya,Rain,3,2870
Munnar,Clear,5,5500
Kodaikanal,Clouds,3,3370
Manali,Clear,5,5040
Thiruvananthapuram,Storm,2,2210
Tirupati,Clear,3,2460
Shirdi,Clear,4,3010
Kolkata,Clouds,3,4970
Darjeeling,Clear,4,2410
Amritsar,Clouds,3,3820
Delhi,Rain,4,6720
Pune,Storm,2,2230
Aurangabad,Clear,3,2070
Delhi,Clear,3,4510
Alleppey,Rain,1,1770
Tirupati,Rain,4,3310
Prayagraj,Rain,4,3290
Srinagar,Clear,2,1810
Prayagraj,Clear,3,2460
Dwarka,Clear,2,2270
Lucknow,Heavy Rain,2,1990
Kodaikanal,Rain,2,3190
Mumbai,Clouds,5,3190
Mathura & Vrindavan,Clear,2,1890
Varanasi,Clear,5,3040
Kochi,Clouds,4,2720
Shirdi,Clear,5,3660
Chennai,Fog,1,3520
Delhi,Storm,1,4230
Varanasi,Clear,5,3030
Mathura & Vrindavan,Clear,1,1580
Chennai,Clear,2,4220
Rishikesh & Haridwar,Clear,5,3850
Alleppey,Fog,2,1770
Kolkata,Clouds,1,3800
Bengaluru,Rain,3,5450
Pune,Clear,3,2000
Shirdi,Fog,1,1790
Shimla,Clouds,4,2610
Dwarka,Clear,4,3110
Prayagraj,Clear,1,1710
Ooty,Rain,1,2610
Dharamshala,Clear,1,1590
Munnar,Rain,2,3270
Dharamshala,Clear,4,2460
Udaipur,Rain,3,3940
Shirdi,Heavy Rain,1,2060
Visakhapatnam,Clear,2,1850
Bengaluru,Clear,5,7460
Goa,Clear,2,3390
Lucknow,Fog,2,1700
Tirupati,Rain,2,2350
Jaipur,Rain,1,3230
Bengaluru,Heavy Rain,1,4300
Goa,Fog,1,2480
Ahmedabad,Clear,5,3380
Varanasi,Clear,5,3170
Rameswaram,Clear,3,2050
Jaisalmer,Clouds,1,2620
Mysuru,Rain,5,3880
Mysuru,Clear,5,3370
Munnar,Clear,2,2990
Ahmedabad,Heavy Rain,1,1730
Ooty,Rain,5,5720
Thiruvananthapuram,Heavy Rain,1,1820
Madurai,Rain,4,2900
Jodhpur,Clear,2,3280
Darjeeling,Rain,4,2710
Aurangabad,Fog,1,1550
Coorg,Clear,3,2010
Rameswaram,Heavy Rain,4,2970
Lucknow,Rain,1,1760
Pushkar,Clear,4,2480
Kodaikanal,Clear,1,2390
Ahmedabad,Clear,3,2120
Jodhpur,Clear,4,4420
Visakhapatnam,Clear,2,1900
Mathura & Vrindavan,Clouds,2,1900
Manali,Clear,2,2920
Agra,Rain,3,4190
Vaishno Devi (Katra),Clear,4,2450
Statue of Unity (Kevadia),Heavy Rain,2,2060
Pushkar,Clear,5,3420
Udaipur,Clear,4,4640
Pushkar,Clouds,2,1940
Nashik,Clear,4,2490
Tirupati,Clear,5,3680
Aurangabad,Clear,5,3120
Vaishno Devi (Katra),Fog,1,1480
Ayodhya,Clear,2,2160
Vijayawada,Rain,5,3900
Vaishno Devi (Katra),Clouds,1,1650
Ayodhya,Clouds,4,3140
Madurai,Heavy Rain,3,2170
Rishikesh & Haridwar,Clear,2,2120
Coorg,Clear,5,3400
Pushkar,Clear,1,1600
Pune,Rain,3,2170
Ajmer,Clear,5,5970
Shirdi,Clear,5,4090
Alleppey,Clear,2,1920
Agra,Clouds,3,3530
Pushkar,Clear,4,2700
Darjeeling,Rain,5,3550
Varanasi,Clouds,2,1970
Udaipur,Clear,3,3780
Hampi,Clear,2,3220
Mysuru,Clear,4,2600
Mysuru,Clouds,3,2140
Nashik,Rain,5,3700
Goa,Clear,2,3130
Prayagraj,Rain,2,2600
Varanasi,Rain,1,1790
Jodhpur,Clear,5,5920
Somnath,Rain,1,1980
Rishikesh & Haridwar,Rain,1,2040
Visakhapatnam,Storm,3,2310
Goa,Clear,1,2520
Tirupati,Clear,1,1940
Aurangabad,Clear,5,3290
Ajmer,Clouds,3,3650
Darjeeling,Clear,4,2670
Rameswaram,Clear,2,1740
Tirupati,Fog,2,2280
Rameswaram,Clouds,3,2020
Vijayawada,Clear,4,2350
Somnath,Fog,2,2280
Udaipur,Clear,2,3080
Kolkata,Fog,3,4810
Jodhpur,Clear,1,2670
Goa,Storm,1,3360
Srinagar,Rain,4,3000
Goa,Clear,3,3360
Ajmer,Clear,3,3620
Jodhpur,Clear,1,2500
Ayodhya,Rain,2,2420
Jaisalmer,Clear,5,5510
Ajmer,Fog,2,3210
Pushkar,Clear,1,1470
Jaisalmer,Clear,3,3390
Hampi,Fog,5,5640
Madurai,Fog,4,2460
Prayagraj,Clear,3,2500
Shimla,Clear,5,3400
Alleppey,Clear,4,2650
Bengaluru,Heavy Rain,5,9600
Somnath,Rain,4,3670
Alleppey,Rain,2,2080
Amritsar,Fog,5,5830
Varanasi,Clear,1,1460
Delhi,Clouds,1,3440
Prayagraj,Clouds,5,3860
Chennai,Rain,3,5880
Lucknow,Clouds,1,1610
Vijayawada,Rain,4,2820
Kanyakumari,Heavy Rain,1,1810
Pushkar,Clouds,4,2600
Ayodhya,Rain,3,2970
Alleppey,Rain,4,3000
Ayodhya,Heavy Rain,3,2980
Lucknow,Clear,3,1980
Mysuru,Rain,5,3540
Kolkata,Clear,5,7750
Kochi,Rain,3,2240
Kochi,Rain,4,2940
Agra,Clear,2,3200
Rishikesh & Haridwar,Clouds,3,2380
Vijayawada,Rain,5,3950
Varanasi,Clear,3,1900
Visakhapatnam,Fog,1,1480
Madurai,Storm,1,1830
Bengaluru,Rain,4,7520
Pune,Rain,3,2430
Kochi,Clear,4,2430
Udaipur,Clear,4,4290
Mumbai,Rain,4,3030
Kanyakumari,Clear,5,3200
Varanasi,Clear,2,1920
Kodaikanal,Clear,4,3840
Jaipur,Clear,5,6010
Varanasi,Rain,4,2980
Mathura & Vrindavan,Rain,3,2310
Dharamshala,Clear,5,3210
Shimla,Rain,5,3830
Kochi,Clouds,5,3410
Kodaikanal,Fog,4,3770
Jaisalmer,Clear,1,2550
Aurangabad,Clear,3,1990
Lucknow,Heavy Rain,4,2970
Manali,Clear,1,2530
Ahmedabad,Clear,2,1770
Kolkata,Clear,2,4240
Vaishno Devi (Katra),Clear,2,1780
Ajmer,Rain,4,4930
Kodaikanal,Rain,3,3530
Darjeeling,Clear,4,2690
Prayagraj,Heavy Rain,3,2850
Kochi,Clear,1,1570
Kolkata,Clouds,4,5840
Ayodhya,Fog,5,4060
Darjeeling,Clouds,2,1960
Jodhpur,Clear,4,4680
Srinagar,Snow,2,1730
Mumbai,Clouds,5,3270
Ajmer,Fog,5,5470
Bengaluru,Clear,1,3560
Nainital,Clear,5,5030
Shimla,Rain,3,2200
Somnath,Rain,3,2800
Darjeeling,Fog,1,1610
Thiruvananthapuram,Fog,2,1890
Darjeeling,Clouds,2,1780
Ayodhya,Rain,5,4560
Dwarka,Rain,4,3430
Shirdi,Clouds,3,2580
Alleppey,Clear,3,1990
Ayodhya,Clear,3,2420
Jaipur,Clear,3,3730
Visakhapatnam,Rain,1,1820
Nainital,Clear,1,2310
Vaishno Devi (Katra),Clear,2,1730
Srinagar,Clouds,4,2720
Dwarka,Clear,5,3640
Manali,Rain,1,2620
Somnath,Clouds,5,3930
Dwarka,Clear,5,3990
Aurangabad,Clouds,5,3590
Kodaikanal,Clear,1,2440
Srinagar,Heavy Snow,4,2640
Munnar,Clear,1,2450
Coorg,Clear,1,1600
Jodhpur,Storm,3,4250
Munnar,Clear,4,3960
Srinagar,Clouds,1,1580
Kochi,Clouds,2,1890
Munnar,Rain,5,5610
Jaipur,Clear,2,3290
Varanasi,Rain,2,2160
Srinagar,Clear,2,1880
Kodaikanal,Clear,1,2580
Thiruvananthapuram,Rain,2,2190
Dwarka,Clear,1,1750
Alleppey,Clear,5,3430
Ooty,Clear,2,2780
Nainital,Clouds,3,3520
Tirupati,Rain,3,2600
Alleppey,Clear,2,1800
Vijayawada,Clouds,5,3510
Delhi,Clear,3,4630
Nainital,Clouds,5,5670
Aurangabad,Clear,4,2500
Rameswaram,Clear,3,2060
Amritsar,Clear,1,2760
Kochi,Clouds,2,1870
Visakhapatnam,Heavy Rain,4,2850
Nashik,Clear,3,1960
Nainital,Fog,1,2490
Amritsar,Clear,2,2980
Ooty,Clouds,5,5790
Ahmedabad,Heavy Rain,1,1650
Aurangabad,Rain,4,2800
Ooty,Clear,2,3090
Coorg,Clear,1,1430
Rameswaram,Rain,4,3030
Manali,Clouds,5,5140
Kodaikanal,Rain,2,3390
Nainital,Clear,3,3330
Nainital,Clear,5,5110
Darjeeling,Snow,4,2430
Chennai,Rain,5,8960
Jaisalmer,Clear,1,2770
Manali,Clear,5,5460
Vaishno Devi (Katra),Rain,1,1850
Prayagraj,Clouds,2,2180
Nainital,Clear,4,3800
Mysuru,Rain,3,2440
Mathura & Vrindavan,Clear,2,1910
Manali,Fog,1,2490
Aurangabad,Clear,5,3060
Vijayawada,Rain,1,1640
Madurai,Fog,3,1950
Varanasi,Clear,4,2460
Tirupati,Clear,4,2840
Mysuru,Rain,5,3750
Dwarka,Clear,1,1780
Ayodhya,Clear,5,4120
Dwarka,Fog,1,1770
Rishikesh & Haridwar,Rain,2,2660
Amritsar,Heavy Rain,1,2860
Bengaluru,Clouds,4,5930
Vijayawada,Rain,1,1710
Mumbai,Clear,4,2620
Lucknow,Clear,5,3120
Visakhapatnam,Clear,2,1860
Ayodhya,Clear,3,2530
Prayagraj,Clear,1,1840
Statue of Unity (Kevadia),Rain,3,2450
Pune,Clear,2,1740
Rameswaram,Clouds,4,2490
Ooty,Rain,1,2730
Dharamshala,Clear,2,1690
Amritsar,Rain,4,4910
Darjeeling,Fog,1,1610
Statue of Unity (Kevadia),Rain,3,2190
Ahmedabad,Clouds,1,1660
Jaisalmer,Clear,5,5640
Shirdi,Clear,3,2560
Shimla,Fog,2,1920
Kochi,Rain,4,2710
Delhi,Clear,5,6940
Manali,Rain,1,2710
Rameswaram,Clouds,3,2150
Shimla,Rain,5,3660
Kochi,Rain,1,1840
Madurai,Clear,2,1760
Goa,Clear,1,2740
Udaipur,Clear,3,3530
Chennai,Clear,2,3850
Shirdi,Clear,3,2580
Munnar,Clear,5,5220
Ayodhya,Clear,3,2340
Kodaikanal,Clear,4,3980
Tirupati,Clear,2,2210
Ooty,Rain,5,5720
Varanasi,Clear,5,3110
Darjeeling,Rain,1,1740
Ooty,Rain,4,4900
Aurangabad,Fog,3,1990
Jodhpur,Clear,2,3280
Ayodhya,Rain,5,4610
Ahmedabad,Clear,4,2400
Munnar,Rain,4,4430
Mathura & Vrindavan,Rain,5,3840
Darjeeling,Clear,3,1880
Agra,Clear,4,4200
Kodaikanal,Clouds,3,3370
Madurai,Rain,1,1660
Mumbai,Rain,2,2190
Dwarka,Clear,1,1850
Delhi,Clear,2,4190
Vijayawada,Clear,2,1820
Manali,Rain,4,4920
Delhi,Storm,3,5160
Ajmer,Fog,4,4220
Chennai,Clear,1,3250
Ooty,Fog,4,4130
Kochi,Clear,3,2090
Thiruvananthapuram,Clear,5,3380
Rishikesh & Haridwar,Fog,3,2490
Agra,Clear,3,3500
Pune,Rain,2,2130
Manali,Fog,3,3250
Srinagar,Rain,1,1630
Dharamshala,Clear,4,2640
Goa,Heavy Rain,5,6850
Agra,Fog,3,3730
Jaipur,Clear,4,4370
Mumbai,Clear,5,3230
Jaipur,Clear,5,5460
Agra,Rain,2,3890
Visakhapatnam,Storm,2,2130
Shirdi,Clear,2,2320
Ayodhya,Heavy Rain,2,2480
Amritsar,Clear,2,3380
Thiruvananthapuram,Rain,1,1840
Ahmedabad,Rain,2,2080
Jodhpur,Clear,4,4360
Amritsar,Clear,1,2640
Srinagar,Rain,5,3690
Aurangabad,Fog,1,1470
Prayagraj,Storm,1,2040
Kolkata,Clear,3,4320
Kolkata,Rain,5,9490
Thiruvananthapuram,Fog,4,2450
Bengaluru,Clear,3,4330
Agra,Rain,2,3650
Manali,Clouds,5,5570
Somnath,Rain,1,2060
Coorg,Clouds,1,1640
Darjeeling,Fog,1,1600
Ayodhya,Clear,4,2830
Visakhapatnam,Storm,4,3100
Ahmedabad,Clear,4,2640
Alleppey,Clouds,4,2780
Ooty,Fog,2,2870
Rameswaram,Rain,3,2380
Munnar,Clouds,3,3160
Pushkar,Clear,3,2130
Amritsar,Clear,4,4170
Madurai,Clear,4,2640
Madurai,Clouds,1,1530
Jaisalmer,Clouds,1,2780
Jodhpur,Clear,5,6040
Srinagar,Fog,3,1920
Chennai,Clear,4,5630
Munnar,Storm,2,3340
Tirupati,Clear,2,2040
Srinagar,Clear,3,1990
Srinagar,Clouds,1,1490
Lucknow,Rain,4,2830
Rameswaram,Clear,3,1950
Dwarka,Clear,4,3080
Prayagraj,Rain,2,2440
Jodhpur,Clear,2,3290
Ayodhya,Clear,2,2030
Darjeeling,Rain,1,1670
Thiruvananthapuram,Clear,2,1810
Srinagar,Clear,3,1880
Ajmer,Clear,4,4640
Chennai,Clear,5,7340
Rameswaram,Clear,5,3030
Ayodhya,Clear,2,2190
Goa,Fog,3,3430
Nashik,Clear,2,1940
Statue of Unity (Kevadia),Clear,1,1500
Vaishno Devi (Katra),Clouds,3,2120
Srinagar,Clouds,2,1990
Alleppey,Rain,5,3850
Prayagraj,Clear,4,3090
Aurangabad,Heavy Rain,3,2320
Udaipur,Heavy Rain,1,2970
Manali,Fog,5,5190
Dwarka,Rain,1,2090
Kochi,Storm,4,3210
Tirupati,Clear,3,2350
Bengaluru,Rain,4,6670
Dwarka,Clear,4,2850
Thiruvananthapuram,Rain,5,3790
Madurai,Clear,2,1860
Ooty,Clear,1,2400
Jaisalmer,Clear,5,5340
Ajmer,Rain,2,3460
Coorg,Clear,5,3270
Shirdi,Clear,1,1790
Kodaikanal,Rain,2,3510
Coorg,Rain,3,2380
Lucknow,Clear,3,2100
Munnar,Rain,5,6130
Darjeeling,Clear,5,3090
Madurai,Clouds,1,1620
Lucknow,Clouds,3,2100
Kodaikanal,Clouds,3,3310
Munnar,Storm,5,6140
Jaisalmer,Clear,4,4550
Shirdi,Clouds,1,2040
Thiruvananthapuram,Fog,5,3300
Jodhpur,Clear,3,3690
Thiruvananthapuram,Fog,5,3020
Ajmer,Clear,1,2740
Alleppey,Clear,5,3400
Ooty,Clear,5,4850
Dwarka,Clear,2,2070
Visakhapatnam,Clear,5,3330
Udaipur,Clear,4,4710
Hampi,Clouds,3,3560
Goa,Clouds,5,5850
Agra,Fog,2,3040
Srinagar,Fog,2,1830
Mumbai,Clear,4,2550
Varanasi,Clear,3,2090
Statue of Unity (Kevadia),Clear,1,1510
Goa,Clouds,4,4450
Ooty,Clouds,2,3070
Pushkar,Clear,4,2630
Bengaluru,Clear,5,7060
Nashik,Rain,2,2100
Vijayawada,Clouds,1,1500
Jaipur,Fog,2,3050
Alleppey,Heavy Rain,1,1840
Delhi,Clear,1,3490
Nainital,Clouds,1,2520
Prayagraj,Heavy Rain,3,2980
Vaishno Devi (Katra),Rain,1,1640
Rameswaram,Clear,5,3310
Bengaluru,Clouds,5,7290
Kodaikanal,Clear,1,2320
Bengaluru,Clouds,5,7410
Statue of Unity (Kevadia),Clear,4,2370
Ahmedabad,Clear,2,1890
Shirdi,Clear,2,2040
Kolkata,Clear,4,6000
Srinagar,Rain,5,3660
Nashik,Fog,4,2480
Kanyakumari,Clear,3,2150
Vaishno Devi (Katra),Clouds,4,2560
Delhi,Clear,3,4640
Nainital,Clear,1,2500
Jodhpur,Clear,2,3140
Vijayawada,Clear,5,3070
Kanyakumari,Clear,2,1700
Tirupati,Rain,2,2380
Alleppey,Clouds,4,2610
Kolkata,Clouds,3,4820
Dharamshala,Clear,2,1940
Mumbai,Storm,2,2150
Lucknow,Fog,4,2530
Srinagar,Clear,4,2530
Somnath,Clouds,5,4170
Jaisalmer,Clear,1,2480
Vaishno Devi (Katra),Rain,5,3710
Madurai,Clear,1,1440
Jaisalmer,Clouds,1,2810
Jaisalmer,Clear,5,5460
Nainital,Clear,2,2880
Lucknow,Clear,4,2650
Mysuru,Clear,3,1880
Rameswaram,Rain,1,1790
Lucknow,Clouds,3,2260
Nainital,Clouds,1,2480
Pune,Clear,5,3110
Thiruvananthapuram,Clear,4,2620
Srinagar,Fog,4,2670
Rishikesh & Haridwar,Clouds,1,1860
Hampi,Clear,2,3130
Varanasi,Clear,3,1920
Visakhapatnam,Rain,3,2450
Kolkata,Clear,3,4430
Udaipur,Rain,4,4950
Prayagraj,Clear,1,1780
Vijayawada,Storm,5,3840
Mathura & Vrindavan,Clear,5,3290
Shimla,Clear,4,2520
Jaisalmer,Clear,5,5910
Dwarka,Clouds,4,3030
Statue of Unity (Kevadia),Clouds,2,1850
Udaipur,Rain,4,5350
Goa,Clear,5,5810
Darjeeling,Clear,1,1610
Jaisalmer,Clear,3,3450
Rameswaram,Clear,2,1870
Ajmer,Clear,2,3300
Shirdi,Clear,1,1780
Amritsar,Clear,2,3330
Pune,Rain,3,2360
Ayodhya,Clear,3,2370
Prayagraj,Rain,2,2340
Dharamshala,Clouds,3,2210
Statue of Unity (Kevadia),Clear,3,2160
Ajmer,Clear,5,5530
Delhi,Clouds,4,5890
Ooty,Fog,5,4830
